,symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,currencyPair,shortSelling
1449,LIVN.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360387940,,0,2,2,671,13,2147483647,US,LivaNova PLC CFD,False,False,False,True,100.0,54.02,54.32,54.57,51.82,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,30.0,0.3,30.0,,0,0,0,0,Tue Dec 06 21:59:47 CET 2022,False,True
1450,AMAT.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360393446,,0,2,2,12,2436,2147483647,US,Applied Materials Inc,True,False,False,True,100.0,104.81,104.89,106.93,103.77,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.08,8.0,,0,0,0,0,Tue Dec 06 21:59:53 CET 2022,False,False
1451,ULM.PL,PLN,STC,PLN,6,15,104,6,2,1,1,1670343305426,,0,2,2,222,2429,2147483647,Poland,Ulma Construccion Polska SA,True,False,False,True,100.0,54.2,57.0,54.6,54.6,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,2.8,280.0,,0,0,0,0,Tue Dec 06 17:15:05 CET 2022,False,False
1452,URA.US_5,USD,ETF,USD,6,4,103,6,2,1,1,1670360389942,,0,2,2,671,70,2147483647,ETF,Global X Uranium ETF CFD,False,False,False,True,100.0,19.46,19.53,20.03,19.34,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,50.0,0.07,7.0,,0,0,0,0,Tue Dec 06 21:59:49 CET 2022,False,True
1453,PLZL.UK_9,USD,STC,USD,6,15,104,6,2,1,1,1646148659882,,0,2,2,224,2435,2147483647,UK,Polyus PJSC - GDR,True,False,False,True,100.0,22.5,22.68,0.0,0.0,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.18,18.0,,0,0,0,0,Tue Mar 01 16:30:59 CET 2022,False,False
1454,GET.FR_9,EUR,STC,EUR,6,15,104,6,3,1,1,1670345010605,,0,3,2,225,2423,2147483647,France,Getlink SE,True,False,False,True,100.0,15.745,15.75,15.925,15.56,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.005,5.0,,0,0,0,0,Tue Dec 06 17:43:30 CET 2022,False,False
1455,SPI.UK_9,GBP,STC,GBP,6,15,104,6,3,1,1,1670345067148,,0,3,2,223,2434,2147483647,UK,Spire Healthcare Group PLC,True,False,False,True,100.0,2.275,2.285,2.355,2.255,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.01,10.0,,0,0,0,0,Tue Dec 06 17:44:27 CET 2022,False,False
1456,BDEV.UK_9,GBP,STC,GBP,6,15,104,6,4,1,1,1670345095160,,0,4,2,225,2434,2147483647,UK,Barratt Developments PLC,True,False,False,True,100.0,4.038,4.041,4.081,4.024,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.003,30.0,,0,0,0,0,Tue Dec 06 17:44:55 CET 2022,False,False
1457,STAG.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360331409,,0,2,2,671,13,2147483647,US,STAG Industrial Inc CFD,False,False,False,True,100.0,31.98,32.11,32.5,31.82,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.13,13.0,,0,0,0,0,Tue Dec 06 21:58:51 CET 2022,False,True
1458,PUM.DE_4,EUR,STC,EUR,6,4,103,6,2,1,1,1670345095161,,0,2,2,572,10,2147483647,Germany,Puma SE CFD,False,False,False,True,100.0,49.53,49.73,50.68,48.69,1.0,1000000.0,1.0,0.01,0.01,-0.01636,-0.00864,20.0,0.2,20.0,,0,0,0,0,Tue Dec 06 17:44:55 CET 2022,False,True
1459,BABA.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360393446,,0,2,2,671,13,2147483647,US,Alibaba CFD - ADR,False,False,False,True,100.0,90.92,91.22,92.05,89.12,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.3,30.0,,0,0,0,0,Tue Dec 06 21:59:53 CET 2022,False,True
1460,PARR.US,USD,STC,USD,6,4,103,6,2,1,1,1670360388441,,0,2,2,671,13,2147483647,US,Par Pacific Holdings Inc CFD,False,False,False,True,100.0,20.79,20.91,21.08,20.5,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.12,12.0,,0,0,0,0,Tue Dec 06 21:59:48 CET 2022,False,True
1461,PNW.PL,PLN,STC,PLN,6,15,104,6,3,1,1,1670342679977,,0,3,2,222,2429,2147483647,Poland,Plantwear SA,True,False,False,True,100.0,2.35,2.54,2.58,2.3,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.19,190.0,,0,0,0,0,Tue Dec 06 17:04:39 CET 2022,False,False
1462,VERI.US,USD,STC,USD,6,15,104,6,2,1,1,1670360390944,,0,2,2,12,2436,2147483647,US,Veritone Inc,True,False,False,True,100.0,6.8,6.83,7.02,6.75,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.03,3.0,,0,0,0,0,Tue Dec 06 21:59:50 CET 2022,False,False
1463,AOS.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360388441,,0,2,2,12,2436,2147483647,US,AO Smith Corp,True,False,False,True,100.0,59.21,59.25,60.12,58.61,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.04,4.0,,0,0,0,0,Tue Dec 06 21:59:48 CET 2022,False,False
1464,XP.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360327404,,0,2,2,671,13,2147483647,US,Xp Inc - class A CFD,False,False,False,True,100.0,16.95,17.03,17.56,16.93,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.08,8.0,,0,0,0,0,Tue Dec 06 21:58:47 CET 2022,False,True
